1.12	0.68	1.67
1.58	3.02	5.51
0.77	0.91	2.16
0.44	1.1	4.37
0.78	1.63	1.15
0.89	0.99	4.2
0.27	1.28	9.18
0.96	1.04	2.35
1.66	0.95	0.86
0.86	1	2
1.1	1.28	0.47
0.41	1.5	Inf
1	1	0.77
1.18	1.22	4.69
0.45	0.76	4.37
2.11	2.23	2.71
0.83	0.92	1.32
0.55	1.03	4.54
0.71	1.12	5.44
0.84	1.16	3.11
1.69	1.07	0.39
1.07	0.87	1.03
0.72	0.93	1.76
0.92	0.73	6.35
1.32	1.26	8.02
0.77	2.83	Inf
0.73	0.81	1.73
0.87	1	1.87
0.45	1.75	Inf
0.54	0.9	2.74
0.8	2.84	1.83
0.7	0.96	4.26
0.61	1.1	5.07
0.91	2.35	Inf
1.58	0.91	0.34
0.75	5.33	Inf
0.99	0.92	0.99
0.54	0.79	3.29
2.06	0.96	1.44
1.28	1.7	1.67
0.42	1.12	3.57
0.88	0.64	1.51
0.91	1.49	2.52
1.19	3.22	7.24
0.96	1.55	3.05
0.47	0.93	8.73
0.12	1.07	Inf
